지역,mean,std
전국,3360000,2990000
수도권,4630000,3500000
비수도권,1920000,1140000
서울특별시,7030000,4480000
부산광역시,2570000,1520000
대구광역시,2280000,1160000
인천광역시,2580000,1190000
광주광역시,2120000,970000
대전광역시,2500000,1190000
울산광역시,2100000,1070000
경기도,3590000,2020000
충청북도,1640000,830000
충청남도,1610000,860000
전라남도,1380000,690000
경상북도,1310000,700000
경상남도,1700000,940000
제주특별자치도,2380000,1120000
강원특별자치도,1630000,810000
전북특별자치도,1450000,810000
